Game,Similar1,Score1,Similar2,Score2,Similar3,Score3
Wii Sports,Grand Theft Auto: Vice City,0.9933123703313979,Grand Theft Auto III,0.9892783024863108,Wii Sports Resort,0.9880486198580842
Super Mario Bros.,Tetris,0.994432291672082,Super Mario World,0.9812882394985598,Super Mario Land,0.9719476543391952
Mario Kart Wii,Wii Sports Resort,0.99786321470024,Wii Play,0.9957810500696818,Wii Fit Plus,0.9956966455619025
Wii Sports Resort,Wii Play,0.998125489945373,Mario Kart Wii,0.99786321470024,Wii Fit Plus,0.9921756752936436
Pokemon Red/Pokemon Blue,Pokemon Gold/Pokemon Silver,0.9990872432850156,Pokemon Ruby/Pokemon Sapphire,0.9960846763114176,Pokemon FireRed/Pokemon LeafGreen,0.992235731532493
Tetris,Super Mario Bros.,0.994432291672082,Super Mario World,0.9669812569818674,Super Smash Bros. Melee,0.9524310954412812
New Super Mario Bros.,Mario Kart DS,0.9919917572688548,Mario Kart 7,0.9878103651201239,Wii Fit,0.9851823942113865
Wii Play,Wii Sports Resort,0.998125489945373,Mario Kart Wii,0.9957810500696818,Super Mario 64,0.9889376463588313
New Super Mario Bros. Wii,Super Smash Bros. Brawl,0.9877764148116834,Super Mario 3D Land,0.9859113155983408,Mario Kart DS,0.9858006445493771
Duck Hunt,Halo 2,0.9500923157610065,Madden NFL 2005,0.9498058937101308,Pac-Man,0.9388391464903457
Nintendogs,Call of Duty: Modern Warfare 3,0.9851215547368644,Mario Kart Wii,0.9837719734783558,Wii Fit Plus,0.9829491945642437
Mario Kart DS,Wii Fit,0.9936618143120861,New Super Mario Bros.,0.9919917572688548,Mario Kart 7,0.9873272769402943
Pokemon Gold/Pokemon Silver,Pokemon Red/Pokemon Blue,0.9990872432850156,Pokemon Ruby/Pokemon Sapphire,0.996193397698771,Pokemon FireRed/Pokemon LeafGreen,0.9947552365977036
Wii Fit,Mario Kart DS,0.9936618143120861,Wii Fit Plus,0.9902028239271748,Mario Kart Wii,0.9887405400003753
Wii Fit Plus,Mario Kart Wii,0.9956966455619025,Wii Sports Resort,0.9921756752936436,Wii Fit,0.9902028239271748
Kinect Adventures!,Call of Duty: Black Ops,0.9934820029680974,Halo: Reach,0.9910926843684384,Halo 3,0.9905196210557992
Grand Theft Auto V,Call of Duty: Black Ops II,0.995583369883084,Gran Turismo 5,0.9917942597480025,Grand Theft Auto V,0.9898010724736835
Grand Theft Auto: San Andreas,Gran Turismo 4,0.9896506939457533,God of War II,0.9812777706707158,FIFA Soccer 08,0.9741929004423266
Super Mario World,Super Mario All-Stars,0.9903996266341221,Super Mario 64,0.9889536279820504,Super Mario Bros. 3,0.9862732910618338
Brain Age: Train Your Brain in Minutes a Day,Big Brain Academy,0.9856614327084996,Professor Layton and the Curious Village,0.9766916439982747,Wii Fit,0.9738167742067461
Pokemon Diamond/Pokemon Pearl,Pokemon HeartGold/Pokemon SoulSilver,0.9954328778903452,Pokémon Platinum Version,0.9940112362731391,Pokemon Black/Pokemon White,0.9922124348250697
Super Mario Land,Super Mario Bros. 3,0.9934517348310592,Super Mario Land 2: 6 Golden Coins,0.9919766254096672,Super Mario All-Stars,0.9870973594549346
Super Mario Bros. 3,Super Mario Land,0.9934517348310592,Super Mario All-Stars,0.9927032142002661,Super Mario Land 2: 6 Golden Coins,0.9903575217315007
Grand Theft Auto V,Grand Theft Auto IV,0.9945354806659469,Call of Duty: Black Ops II,0.99341117430541,Call of Duty: Modern Warfare 3,0.9919975798615509
Grand Theft Auto: Vice City,Grand Theft Auto III,0.9982200856902348,Wii Sports,0.9933123703313979,Grand Theft Auto V,0.9821253040962368
Pokemon Ruby/Pokemon Sapphire,Pokemon Gold/Pokemon Silver,0.996193397698771,Pokemon FireRed/Pokemon LeafGreen,0.9961700188290431,Pokemon Red/Pokemon Blue,0.9960846763114176
Pokemon Black/Pokemon White,Pokemon Black 2/Pokemon White 2,0.9961348312473903,Pokémon Platinum Version,0.9943489024940452,Pokemon HeartGold/Pokemon SoulSilver,0.9939125195992393
Brain Age 2: More Training in Minutes a Day,Pokemon Diamond/Pokemon Pearl,0.9840886915179478,Animal Crossing: Wild World,0.9836988003880334,Pokemon X/Pokemon Y,0.9792044505148686
Gran Turismo 3: A-Spec,Mario Kart Wii,0.9903583591355064,Wii Sports Resort,0.9883412198689838,Wii Fit Plus,0.9865350013681391
Call of Duty: Modern Warfare 3,Call of Duty: Modern Warfare 2,0.998638877345078,Call of Duty: Black Ops II,0.9984144130899454,Call of Duty: Black Ops,0.9956062546905415
Pokémon Yellow: Special Pikachu Edition,Gran Turismo,0.9851228080989533,Gran Turismo 2,0.9781311160559351,Mario Kart 7,0.9738949066563687
Call of Duty: Black Ops,Call of Duty: Ghosts,0.9971051571547535,Call of Duty: Modern Warfare 2,0.9961313888313689,Call of Duty: Modern Warfare 3,0.9956062546905415
Pokemon X/Pokemon Y,Pokemon Omega Ruby/Pokemon Alpha Sapphire,0.9968917764072582,Pokemon Diamond/Pokemon Pearl,0.9908581123874446,Pokemon Red/Pokemon Blue,0.988345784995533
Call of Duty: Black Ops 3,Call of Duty: Advanced Warfare,0.9936284343625844,Call of Duty: Black Ops II,0.9936218050975911,Call of Duty: Ghosts,0.992534735691746
Call of Duty: Black Ops II,Grand Theft Auto V,0.995583369883084,Call of Duty: Black Ops 3,0.9936218050975911,Call of Duty: Ghosts,0.9897786667073385
Call of Duty: Black Ops II,Call of Duty: Modern Warfare 3,0.9984144130899454,Call of Duty: Modern Warfare 2,0.9945240447558731,Grand Theft Auto V,0.99341117430541
Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 3,0.998638877345078,Call of Duty 4: Modern Warfare,0.9981657393158776,Call of Duty: Black Ops,0.9961313888313689
Call of Duty: Modern Warfare 3,Call of Duty: Ghosts,0.9916485194734378,Call of Duty: Black Ops,0.9860221733207494,Nintendogs,0.9851215547368644
Grand Theft Auto III,Grand Theft Auto: Vice City,0.9982200856902348,Wii Sports,0.9892783024863108,Grand Theft Auto V,0.9846926832341703
Super Smash Bros. Brawl,New Super Mario Bros. Wii,0.9877764148116834,Mario Party DS,0.9860716814012276,Mario Party 8,0.9811352848147421
Call of Duty: Black Ops,Call of Duty: Modern Warfare 2,0.9992339647239548,Call of Duty: Ghosts,0.9954738130886177,Call of Duty 4: Modern Warfare,0.9940315279965565
Animal Crossing: Wild World,Animal Crossing: New Leaf,0.9868556832538321,Brain Age 2: More Training in Minutes a Day,0.9836988003880334,Pokemon Black/Pokemon White,0.9819789105376683
Mario Kart 7,New Super Mario Bros. 2,0.9900688491135676,Super Mario 3D Land,0.9894781126746361,New Super Mario Bros.,0.9878103651201239
Halo 3,Call of Duty: Modern Warfare 2,0.9932103583531897,Call of Duty 4: Modern Warfare,0.9921400611287137,Halo: Reach,0.9910253009789861
Grand Theft Auto V,Grand Theft Auto V,0.9898010724736835,Call of Duty: Black Ops 3,0.9869616207074275,Call of Duty: Black Ops II,0.9853799678344975
Pokemon HeartGold/Pokemon SoulSilver,Pokemon Diamond/Pokemon Pearl,0.9954328778903452,Pokemon Black/Pokemon White,0.9939125195992393,Pokémon Platinum Version,0.9926627450807376
Super Mario 64,Super Mario World,0.9889536279820504,The Legend of Zelda: Ocarina of Time,0.9844852080312626,Super Mario All-Stars,0.9844240660085887
Gran Turismo 4,Grand Theft Auto: San Andreas,0.9896506939457533,Pro Evolution Soccer 2008,0.9875477450728494,FIFA Soccer 08,0.9846950648407865
Super Mario Galaxy,Super Mario Galaxy 2,0.9890543133267847,Wii Sports Resort,0.9851476535393109,Super Mario 64,0.9831626403715032
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Pokemon X/Pokemon Y,0.9968917764072582,New Super Mario Bros. 2,0.992704986328949,Mario Kart 7,0.9840666013887589
Super Mario Land 2: 6 Golden Coins,Super Mario Land,0.9919766254096672,Super Mario Bros. 3,0.9903575217315007,Mario Kart 64,0.9854619352277159
Grand Theft Auto IV,Grand Theft Auto V,0.9945354806659469,Red Dead Redemption,0.9909753637018578,Call of Duty: Modern Warfare 3,0.990285353183657
Gran Turismo,Gran Turismo 2,0.9899945219697204,Pokémon Yellow: Special Pikachu Edition,0.9851228080989533,Tekken 3,0.977896891538855
Super Mario 3D Land,Mario Kart 7,0.9894781126746361,New Super Mario Bros. 2,0.9866624221256961,New Super Mario Bros. Wii,0.9859113155983408
Gran Turismo 5,Grand Theft Auto V,0.9917942597480025,Call of Duty: Black Ops II,0.988225576328399,Grand Theft Auto V,0.978688882735459
Call of Duty: Modern Warfare 2,Call of Duty: Black Ops,0.9992339647239548,Call of Duty 4: Modern Warfare,0.996780111443467,Call of Duty: Ghosts,0.994724594406323
Grand Theft Auto IV,Red Dead Redemption,0.9929509609967653,Call of Duty: Black Ops,0.9902714332314302,Call of Duty: Modern Warfare 2,0.9895031240396985
Super Mario All-Stars,Super Mario Bros. 3,0.9927032142002661,Super Mario World,0.9903996266341221,Super Mario Land,0.9870973594549346
Pokemon FireRed/Pokemon LeafGreen,Pokemon Ruby/Pokemon Sapphire,0.9961700188290431,Pokémon Emerald Version,0.9953114284599526,Pokemon Gold/Pokemon Silver,0.9947552365977036
Super Mario 64,Wii Play,0.9889376463588313,Wii Sports Resort,0.9869894216807091,Mario Kart Wii,0.9841709523951093
Just Dance 3,Just Dance 2,0.9950603426643407,Just Dance 4,0.9903114554869539,Call of Duty: Modern Warfare 3,0.9827341756283797
Call of Duty: Ghosts,Call of Duty: Black Ops,0.9971051571547535,Call of Duty: World at War,0.9947565865744225,Call of Duty: Modern Warfare 2,0.9941905034337835
